title,url,published,document_type,organisations,evaluation_type,method_signal
UK Shared Prosperity Fund place-based evaluation: Glasgow City Region,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-glasgow-city-region,2025-12-03T09:30:04Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Liverpool City Region,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-liverpool-city-region,2025-12-03T09:30:04Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: South East Wales,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-south-east-wales,2025-12-03T09:30:04Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Richmond upon Thames,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-richmond-upon-thames,2025-12-03T09:30:04Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: South West Wales,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-south-west-wales,2025-12-03T09:30:04Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Torridge,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-torridge,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Uttlesford,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-uttlesford,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Chesterfield,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-chesterfield,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Tamworth,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-tamworth,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Southend-on-Sea,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-southend-on-sea,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: County Durham,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-county-durham,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: City of Edinburgh,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-city-of-edinburgh,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Cornwall and Isles of Scilly,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-cornwall-and-isles-of-scilly,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: East Riding of Yorkshire,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-east-riding-of-yorkshire,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: South Yorkshire Mayoral Combined Authority,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-south-yorkshire-mayoral-combined-authority,2025-12-03T09:30:03Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Watford,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-watford,2025-12-03T09:30:02Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Adur,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-adur,2025-12-03T09:30:02Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Wyre,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-wyre,2025-12-03T09:30:02Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: Blaby,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-blaby,2025-12-03T09:30:02Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
UK Shared Prosperity Fund place-based evaluation: West Midlands Combined Authority,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-place-based-evaluation-west-midlands-combined-authority,2025-12-03T09:30:02Z,research,"Ministry of Housing, Communities and Local Government",impact,unstated
​​UK Shared Prosperity Fund (UKSPF) interim evaluation synthesis report​,https://www.gov.uk/government/publications/uk-shared-prosperity-fund-ukspf-interim-evaluation-synthesis-report,2025-12-03T09:30:01Z,research,"Ministry of Housing, Communities and Local Government",evidence_synthesis,unstated
Climate Science Research Programme (CSRP) evaluation: summary report,https://www.gov.uk/government/publications/climate-science-research-programme-csrp-evaluation-summary-report,2025-12-02T17:02:59Z,research,Department for Energy Security and Net Zero,impact,unstated
Partnerships for Inclusion of Neurodiversity in Schools (PINS): interim evaluation report,https://www.gov.uk/government/publications/partnerships-for-inclusion-of-neurodiversity-in-schools-pins-interim-evaluation-report,2025-12-02T09:30:02Z,research,Department for Education,impact,unstated
Heat Network Efficiency Scheme (HNES) evaluation,https://www.gov.uk/government/publications/heat-network-efficiency-scheme-hnes-evaluation,2025-12-02T09:00:01Z,research,Department for Energy Security and Net Zero,mixed,unstated
Evaluation of the Green Heat Network Fund (GHNF) scheme,https://www.gov.uk/government/publications/evaluation-of-the-green-heat-network-fund-ghnf-transition-scheme,2025-12-02T09:00:01Z,research,Department for Energy Security and Net Zero,mixed,unstated
Evaluation of the management of the Sport and Culture Loan Book - summary of the final report,https://www.gov.uk/government/publications/evaluation-of-the-management-of-the-sport-and-culture-loan-book-summary-of-the-final-report,2025-11-28T09:00:04Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",economic,unstated
Family network pilot evaluation: initial research report,https://www.gov.uk/government/publications/family-network-pilot-evaluation-initial-research-report,2025-11-27T16:00:03Z,research,Department for Education,impact,qualitative
Safer Roads Fund process evaluation,https://www.gov.uk/government/publications/safer-road-fund-process-evaluation,2025-11-27T16:00:02Z,research,Department for Transport,process,unstated
Evaluation of Regional Care Cooperatives: phase 1,https://www.gov.uk/government/publications/evaluation-of-regional-care-cooperatives-phase-1,2025-11-27T16:00:02Z,research,Department for Education,process,unstated
Driver 2020 evaluation,https://www.gov.uk/government/publications/driver-2020-evaluation,2025-11-27T16:00:02Z,research,Department for Transport,impact,unstated
Domestic energy affordability support schemes: impact and economic evaluation,https://www.gov.uk/government/publications/domestic-energy-affordability-support-schemes-impact-and-economic-evaluation,2025-11-27T11:00:00Z,research,Department for Energy Security and Net Zero,mixed,unstated
Process evaluation of the intensive supervision courts pilot: final report,https://www.gov.uk/government/publications/process-evaluation-of-the-intensive-supervision-courts-pilot-final-report,2025-11-20T10:00:02Z,research,Ministry of Justice,process,unstated
Evaluation of Ofsted’s renewed approach to education inspection: terms of reference,https://www.gov.uk/government/publications/evaluation-of-ofsteds-renewed-approach-to-education-inspection-terms-of-reference,2025-11-10T09:30:06Z,research,Ofsted,mixed,unstated
Process evaluation of Operation Encompass,https://www.gov.uk/government/publications/process-evaluation-of-operation-encompass,2025-11-07T00:00:00Z,research,Home Office,process,unstated
Digital Channel Shift Campaign Evaluation 2024 to 2025,https://www.gov.uk/government/publications/digital-channel-shift-campaign-evaluation-2024-to-2025,2025-11-06T09:30:02Z,research,HM Revenue & Customs,impact,unstated
Offshore Wind Manufacturing Investment Scheme: evaluation,https://www.gov.uk/government/publications/offshore-wind-manufacturing-investment-scheme-evaluation,2025-11-03T09:30:08Z,research,Department for Energy Security and Net Zero,impact,unstated
Floating Offshore Wind Manufacturing Investment Scheme: evaluation,https://www.gov.uk/government/publications/floating-offshore-wind-manufacturing-investment-scheme-evaluation,2025-11-03T09:30:08Z,research,Department for Energy Security and Net Zero,impact,unstated
Evaluation of the Help to Save scheme,https://www.gov.uk/government/publications/evaluation-of-the-help-to-save-scheme,2025-11-03T09:30:08Z,research,HM Revenue & Customs,impact,mixed_methods
National Education Nature Park: process evaluation,https://www.gov.uk/government/publications/national-education-nature-park-process-evaluation,2025-10-30T16:00:05Z,research,Department for Education,process,unstated
Early years financial incentives: evaluation report,https://www.gov.uk/government/publications/early-years-financial-incentives-evaluation-report,2025-10-30T16:00:03Z,research,Department for Education,impact,unstated
Alcohol monitoring on licence: process and interim impact evaluation,https://www.gov.uk/government/publications/alcohol-monitoring-on-licence-process-and-interim-impact-evaluation,2025-10-30T10:00:03Z,research,Ministry of Justice,mixed,unstated
Peer Mentoring Evaluation: A report on final research findings,https://www.gov.uk/government/publications/peer-mentoring-evaluation-a-report-on-final-research-findings,2025-10-30T09:30:05Z,research,Department for Work and Pensions,impact,unstated
Evaluation of the Digital Excellence Programme for senior leaders,https://www.gov.uk/government/publications/evaluation-of-the-digital-excellence-programme-for-senior-leaders,2025-10-24T15:22:10Z,research,Government Skills,impact,rct
African swine fever: evaluation of the protection zone in Puerto Rico and the United States Virgin Islands,https://www.gov.uk/government/publications/african-swine-fever-evaluation-of-the-protection-zone-in-puerto-rico-and-the-united-states-virgin-islands,2025-10-22T14:12:13Z,research,"Department for Environment, Food & Rural Affairs",process,unstated
